Test Area,tariffCategory,genTariffCategory,broughtForwards,registerValues,meterStatus,previousReadings,currentReadings,prevDates,currDates,Expected_StatusCode,error_message,Period,Total_Units,Consumption,Fixed_Charges,Brought_Forwards,carryForwards,Total_Tax,Total_Amount,slabName,slabUnits,slabRates,slabAmounts,GenerationUnits,GenerationRate,GenTotalPrice,expectedJson
Normal (DOMESTIC),DOMESTIC,,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,830.0|128.0,45014.0|9496.0,1820.0|280.0,,,1451.54,58061.54,"0-52.0,52.0-78.0,78.0-104.0,104.0-156.0,>156.0|0-8.0,8.0-12.0,12.0-16.0,16.0-24.0,>24.0","52.0,26.0,26.0,52.0,674.0|8.0,4.0,4.0,8.0,104.0","12.75,18.5,24,41,61|14,20,28,44,85","663.0,481.0,624.0,2132.0,41114.0|112.0,80.0,112.0,352.0,8840.0",,,,
Units 0.0,DOMESTIC,,,1.8.0_0,Active,1387,1387,2026-03-06,2026-04-05,200,,30.0,0.0,0.0,72|10.67,,,2.05,82.05,,,,,,,,
With genTariffCategory,DOMESTIC,SE1@1,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,830.0|128.0,45014.0|9496.0,1820.0|280.0,,,1451.54,58061.54,"0-52.0,52.0-78.0,78.0-104.0,104.0-156.0,>156.0|0-8.0,8.0-12.0,12.0-16.0,16.0-24.0,>24.0","52.0,26.0,26.0,52.0,674.0|8.0,4.0,4.0,8.0,104.0","12.75,18.5,24,41,61|14,20,28,44,85","663.0,481.0,624.0,2132.0,41114.0|112.0,80.0,112.0,352.0,8840.0",,,,
Previous Reading with text,DOMESTIC,,,1.8.0_0,Active,test,1000,2026-03-06,2026-04-05,422,value is not a valid float,,,,,,,,,,,,,,,,
Current Reading with text,DOMESTIC,,,1.8.0_0,Active,1000,test,2026-03-06,2026-04-05,422,value is not a valid float,,,,,,,,,,,,,,,,
Previous reading higher than current Reading,DOMESTIC,,,1.8.0_0,Active,2000,1000,2026-03-06,2026-04-05,400,Invalid readings,,,,,,,,,,,,,,,,
previous and current reading blank,DOMESTIC,,,1.8.0_0,Active,,,2026-03-06,2026-04-05,200,Successful but should fail,30.0,0.0,0.0,72|10.67,,,2.05,82.05,,,,,,,,
"Units more than 999,999",DOMESTIC,,,1.8.0_0,Active,10,1000050,2026-03-06,2026-04-05,200,,30.00,866701.0|133339.0,52863145.0|11332431.0,1820.0|280.0,,,1646094.26,65843770.26,"0-52.0,52.0-78.0,78.0-104.0,104.0-156.0,>156.0|0-8.0,8.0-12.0,12.0-16.0,16.0-24.0,>24.0","52.0,26.0,26.0,52.0,866545.0|8.0,4.0,4.0,8.0,133315.0","12.75,18.5,24,41,61|14,20,28,44,85","663.0,481.0,624.0,2132.0,52859245.0|112.0,80.0,112.0,352.0,11331775.0",,,,
Without registerValue,DOMESTIC,,,,Active,1387,2345,2026-03-06,2026-04-05,500,Internal Server Error,,,,,,,,,,,,,,,,
Meter Status - Inactive,DOMESTIC,,,1.8.0_0,Inactive,1387,2345,2026-03-06,2026-04-05,500,Internal Server Error,,,,,,,,,,,,,,,,
Without previous date,DOMESTIC,,,1.8.0_0,Active,1387,2345,,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,
